team,possession_pct,passes_per_min,pressures_per_min,avg_shot_distance,total_xg,match_id,result
France,41.7593437850665,4.605611385859064,3.4833244734428326,15.796803204811738,1.863386476,7546,win
Peru,58.240656214933495,5.802011584944292,1.704605593386918,25.189044030491686,0.625221235,7546,loss
Australia,53.02685497803567,5.703584743674855,1.797752789751174,18.54067200200275,1.412191891,7547,draw
Denmark,46.97314502196432,5.115034723220602,1.6265382383463003,17.42894690748385,1.014444774,7547,draw
Brazil,79.23739948310168,7.651759826712194,1.071246375739707,18.443119158954502,3.0963627985,7548,win
Costa Rica,20.76260051689832,2.99948985207118,1.5099472724712062,27.010001636008873,0.158693415,7548,loss
Iceland,39.98846109516126,3.5105280961975,2.9513289304315267,16.728602533203258,1.552161967,7549,loss
Nigeria,60.011538904838744,5.478080716485184,1.366931294094602,21.209131456570855,1.312159326,7549,win
Serbia,42.08237288145107,3.6221293985163947,3.0897703226537545,14.41843175812181,1.153485278,7550,loss
Switzerland,57.91762711854892,5.782880941723581,1.5344467480746686,21.561967831771607,1.5573086895,7550,win
Germany,75.84824731339786,7.390632965613659,1.7395779543018224,19.57969815780691,1.318084832,7551,win
Sweden,24.15175268660214,2.408646398264062,1.996911971210376,17.044256621225024,0.8151666949999999,7551,loss
Belgium,51.60722046726595,5.101127562901799,1.7182745475037637,16.869863541648773,5.336422205,7552,win
Tunisia,48.39277953273405,5.015213835526611,2.921066730756398,22.53488509567615,1.1881780826,7552,loss
Mexico,60.01946505666817,5.202312084053473,1.1560693520118828,18.40884489400339,1.8778128299999999,7553,win
South Korea,39.98053494333183,3.7834996974934345,2.385706753697249,22.30695538126054,0.816422512,7553,loss
England,58.60925404644617,6.431220133167366,1.8223556225779025,15.82637039485198,3.168321031,7554,win
Panama,41.39074595355384,4.301606876550165,1.7905703500910788,20.076554344335378,1.0800387518,7554,loss
Colombia,56.54136607438532,5.764375815942751,2.3141654735536594,24.100042329254027,1.3869427573,7555,win
